Date,n_tx
2020-01-11,309070.0
2020-01-14,346953.0
2020-01-17,323992.0
2020-01-20,313661.0
2020-01-23,329918.0
2020-01-26,261247.0
2020-01-29,340562.0
2020-02-01,303724.0
2020-02-04,309190.0
2020-02-07,334938.0
2020-02-10,298104.0
2020-02-13,340081.0
2020-02-16,292236.0
2020-02-19,334805.0
2020-02-22,304597.0
2020-02-25,334593.0
2020-02-28,368590.0
2020-03-02,342821.0
2020-03-05,349529.0
2020-03-08,302694.0
2020-03-11,287492.0
2020-03-14,279828.0
2020-03-17,278326.0
2020-03-20,284594.0
2020-03-23,259816.0
2020-03-26,292828.0
2020-03-29,232820.0
2020-04-01,281855.0
2020-04-04,253274.0
2020-04-07,312770.0
2020-04-10,288585.0
2020-04-13,288113.0
2020-04-16,322903.0
2020-04-19,251984.0
2020-04-22,278755.0
2020-04-25,280805.0
2020-04-28,323475.0
2020-05-01,340574.0
2020-05-04,326098.0
2020-05-07,341986.0
2020-05-10,286789.0
2020-05-13,296796.0
2020-05-16,296555.0
2020-05-19,274897.0
2020-05-22,278784.0
2020-05-25,265875.0
2020-05-28,299910.0
2020-05-31,258427.0
2020-06-03,314000.0
2020-06-06,284873.0
2020-06-09,327074.0
2020-06-12,318274.0
2020-06-15,294468.0
